# A  Zitrin 1/2016
# what you asked for: a file where each line contains the TD of the
# three images (wrt image 1), these are the first two columns, the
# magnification of the three images, respectively (these are the three
# next columns) and the chi2, this is the seventh column. There are 1000
# lines corresponding to 1000 MCMC steps (including repetition, so this
# means in total the results correspond to a few hundred different
# models or so).
#       dt12           dt13              mu1           mu2              mu3           chi2
    3.8795205e+01  -1.4589137e+03   8.8768501e+01   2.3689142e+01   3.1355495e+00   8.7106854e+01
    3.6098444e+01  -1.4692596e+03   6.8065239e+01   2.5467470e+01   3.1237583e+00   8.6813690e+01
    3.6098444e+01  -1.4692596e+03   6.8065239e+01   2.5467470e+01   3.1237583e+00   8.6813690e+01
    3.5725303e+01  -1.4798040e+03   6.4050548e+01   2.6087522e+01   3.1297987e+00   8.1933384e+01
    3.5725303e+01  -1.4798040e+03   6.4050548e+01   2.6087522e+01   3.1297987e+00   8.1933384e+01
    3.6215210e+01  -1.4587150e+03   7.2591744e+01   2.5289662e+01   3.1375731e+00   8.1209099e+01
    3.4963087e+01  -1.4637766e+03   8.1561032e+01   2.4249386e+01   3.1525257e+00   8.8281423e+01
    3.4963087e+01  -1.4637766e+03   8.1561032e+01   2.4249386e+01   3.1525257e+00   8.8281423e+01
    3.5671612e+01  -1.4490972e+03   8.8846075e+01   2.3746115e+01   3.1539823e+00   9.2673124e+01
    3.5759307e+01  -1.4035334e+03   1.1295362e+02   2.2141649e+01   3.1107266e+00   9.1646094e+01
    4.0754298e+01  -1.4362342e+03   1.2648055e+02   2.1899829e+01   3.1174734e+00   1.0200261e+02
    4.0687414e+01  -1.3999131e+03   1.9357456e+02   2.0713589e+01   3.1078099e+00   9.4836400e+01
    4.4292532e+01  -1.3902880e+03   2.2008636e+02   2.0845729e+01   3.1216539e+00   9.2830244e+01
    4.4292532e+01  -1.3902880e+03   2.2008636e+02   2.0845729e+01   3.1216539e+00   9.2830244e+01
    4.3352673e+01  -1.4068968e+03   1.5177364e+02   2.1565235e+01   3.1117858e+00   8.7777489e+01
    4.2818043e+01  -1.3921956e+03   1.6063991e+02   2.1587534e+01   3.1187515e+00   8.7967183e+01
    4.2818043e+01  -1.3921956e+03   1.6063991e+02   2.1587534e+01   3.1187515e+00   8.7967183e+01
    4.4380082e+01  -1.4244833e+03   1.3540516e+02   2.2168543e+01   3.1285036e+00   8.6489870e+01
    4.4380082e+01  -1.4244833e+03   1.3540516e+02   2.2168543e+01   3.1285036e+00   8.6489870e+01
    3.9596601e+01  -1.3903903e+03   1.2498990e+02   2.2259465e+01   3.1193678e+00   8.5104529e+01
    3.9596601e+01  -1.3903903e+03   1.2498990e+02   2.2259465e+01   3.1193678e+00   8.5104529e+01
    4.2476746e+01  -1.4087109e+03   1.4516903e+02   2.1837768e+01   3.1108458e+00   8.5280811e+01
    4.4145398e+01  -1.4067230e+03   1.8093355e+02   2.0929985e+01   3.0808119e+00   8.6838600e+01
    4.4145398e+01  -1.4067230e+03   1.8093355e+02   2.0929985e+01   3.0808119e+00   8.6838600e+01
    4.4145398e+01  -1.4067230e+03   1.8093355e+02   2.0929985e+01   3.0808119e+00   8.6838600e+01
    4.2186129e+01  -1.3748588e+03   1.8222078e+02   2.1223785e+01   3.0887440e+00   8.6411310e+01
    4.2421353e+01  -1.3857087e+03   1.4285412e+02   2.2150726e+01   3.0992714e+00   8.4466468e+01
