#  TARGET                RA         DEC       MJD  FILTER  APER       FLUX  FLUXERR         MAG   MAGERR  MAGSYS       ZP      SKY SKYERR  IMAGE
spockSE            64.03900   -24.07024  56682.31   F606W   inf    -0.0174   0.0386     28.8325  -9.0000     AB   26.4930   0.0001 0.0024  spock_f606w_e33-e00_sub_masked.fits
spockSE            64.03900   -24.07024  56688.42   F606W   inf     0.0360   0.0258     30.1022   0.7785     AB   26.4930  -0.0000 0.0027  spock_f606w_e36-e00_sub_masked.fits
spockSE            64.03900   -24.07024  56916.92   F606W   inf    -0.1315   0.1151     27.6477  -9.0000     AB   26.4930  -0.0004 0.0056  spock_f606w_e64-e00_sub_masked.fits
spockSE            64.03900   -24.07024  56144.80   F814W   inf    -0.1940   0.1803     26.6142  -9.0000     AB   25.9470   0.0000 0.0065  spock_f814w_e03-e00_sub_masked.fits
spockSE            64.03900   -24.07024  56157.83   F814W   inf    -0.0164   0.0965     27.2924  -9.0000     AB   25.9470   0.0003 0.0067  spock_f814w_e04-e00_sub_masked.fits
spockSE            64.03900   -24.07024  56170.72   F814W   inf    -0.0181   0.0837     27.4471  -9.0000     AB   25.9470   0.0000 0.0061  spock_f814w_e06-e00_sub_masked.fits
spockSE            64.03900   -24.07024  56184.75   F814W   inf     0.0245   0.0065     29.9724   0.2896     AB   25.9470  -0.0000 0.0048  spock_f814w_e08-e00_sub_masked.fits
spockSE            64.03900   -24.07024  56662.85   F814W   inf     0.0170   0.0235     30.3723   1.5009     AB   25.9470   0.0001 0.0022  spock_f814w_e10-e00_sub_masked.fits
spockSE            64.03900   -24.07024  56663.71   F814W   inf    -0.0123   0.0340     28.4242  -9.0000     AB   25.9470  -0.0001 0.0023  spock_f814w_e11-e00_sub_masked.fits
spockSE            64.03900   -24.07024  56664.71   F814W   inf     0.0033   0.0173     32.1542   5.7074     AB   25.9470  -0.0000 0.0016  spock_f814w_e13-e00_sub_masked.fits
spockSE            64.03900   -24.07024  56665.58   F814W   inf    -0.0371   0.0473     28.0681  -9.0000     AB   25.9470   0.0000 0.0023  spock_f814w_e14-e00_sub_masked.fits
spockSE            64.03900   -24.07024  56666.58   F814W   inf    -0.0043   0.0252     28.7515  -9.0000     AB   25.9470   0.0000 0.0019  spock_f814w_e16-e00_sub_masked.fits
spockSE            64.03900   -24.07024  56669.37   F814W   inf     0.0063   0.0275     31.4447   4.7171     AB   25.9470   0.0000 0.0025  spock_f814w_e18-e00_sub_masked.fits
spockSE            64.03900   -24.07024  56670.70   F814W   inf     0.0034   0.0274     32.1229   8.7788     AB   25.9470  -0.0000 0.0024  spock_f814w_e20-e00_sub_masked.fits
spockSE            64.03900   -24.07024  56671.35   F814W   inf     0.0493   0.0188     29.2149   0.4146     AB   25.9470   0.0001 0.0025  spock_f814w_e21-e00_sub_masked.fits
spockSE            64.03900   -24.07024  56671.70   F814W   inf     0.1375   0.1031     28.1015   0.8140     AB   25.9470  -0.0000 0.0024  spock_f814w_e22-e00_sub_masked.fits
spockSE            64.03900   -24.07024  56672.21   F814W   inf    -0.0094   0.0356     28.3751  -9.0000     AB   25.9470   0.0001 0.0025  spock_f814w_e23-e00_sub_masked.fits
spockSE            64.03900   -24.07024  56672.43   F814W   inf     0.0033   0.0271     32.1356   8.7882     AB   25.9470  -0.0000 0.0025  spock_f814w_e24-e00_sub_masked.fits
spockSE            64.03900   -24.07024  56672.69   F814W   inf    -0.0018   0.0239     28.8098  -9.0000     AB   25.9470  -0.0000 0.0024  spock_f814w_e25-e00_sub_masked.fits
spockSE            64.03900   -24.07024  56672.96   F814W   inf    -0.0131   0.0346     28.4052  -9.0000     AB   25.9470  -0.0000 0.0025  spock_f814w_e26-e00_sub_masked.fits
spockSE            64.03900   -24.07024  56676.68   F814W   inf    -0.0031   0.0280     28.6374  -9.0000     AB   25.9470   0.0000 0.0024  spock_f814w_e27-e00_sub_masked.fits
spockSE            64.03900   -24.07024  56679.01   F814W   inf     0.0106   0.0263     30.8875   2.7019     AB   25.9470  -0.0000 0.0022  spock_f814w_e29-e00_sub_masked.fits
spockSE            64.03900   -24.07024  56680.53   F814W   inf    -0.0062   0.0297     28.5736  -9.0000     AB   25.9470   0.0001 0.0022  spock_f814w_e31-e00_sub_masked.fits
spockSE            64.03900   -24.07024  56681.60   F814W   inf     0.0078   0.0246     31.2222   3.4350     AB   25.9470  -0.0001 0.0022  spock_f814w_e32-e00_sub_masked.fits
spockSE            64.03900   -24.07024  56686.36   F814W   inf    -0.0202   0.0365     28.3487  -9.0000     AB   25.9470   0.0000 0.0023  spock_f814w_e34-e00_sub_masked.fits
spockSE            64.03900   -24.07024  56686.64   F814W   inf    -0.0204   0.0332     28.4529  -9.0000     AB   25.9470  -0.0000 0.0022  spock_f814w_e35-e00_sub_masked.fits
spockSE            64.03900   -24.07024  56691.36   F814W   inf     0.0278   0.0240     29.8359   0.9349     AB   25.9470  -0.0000 0.0027  spock_f814w_e38-e00_sub_masked.fits
spockSE            64.03900   -24.07024  56697.73   F814W   inf     0.0420   0.0122     29.3889   0.3142     AB   25.9470   0.0000 0.0019  spock_f814w_e40-e00_sub_masked.fits
spockSE            64.03900   -24.07024  56916.98   F814W   inf    -0.0186   0.0589     27.8284  -9.0000     AB   25.9470  -0.0001 0.0054  spock_f814w_e64-e00_sub_masked.fits
