# R. Kawamata 1/2016
# magnification_NW, time-delay_NW, 
# magnification_SE, time-delay_SE, magnification_11.3, and time-delay_11.3.
# The time delays are given in days with respect to 11.3
#  mu1        dt31            mu2           dt32          mu3          
-1.634410e+01  1.421530e+03  5.193220e+01  1.405057e+03  3.381800e+00  
-3.520660e+01  1.730690e+03  5.533120e+01  1.728194e+03  3.179200e+00  
-2.397820e+01  1.700678e+03  4.905420e+01  1.694907e+03  3.054600e+00  
-2.269610e+01  1.651120e+03  3.858310e+01  1.645092e+03  3.136100e+00  
-2.114480e+01  1.652983e+03  3.582280e+01  1.646470e+03  3.071100e+00  
-1.823950e+01  1.569084e+03  3.275260e+01  1.559794e+03  3.186500e+00  
-2.319420e+01  1.663658e+03  6.354400e+01  1.656978e+03  3.154900e+00  
-2.343830e+01  1.655860e+03  4.826150e+01  1.649792e+03  3.156600e+00  
-2.008720e+01  1.599663e+03  4.575390e+01  1.591283e+03  3.151100e+00  
-2.216910e+01  1.591882e+03  3.895380e+01  1.585442e+03  3.289300e+00  
-1.639700e+01  1.501505e+03  4.367800e+01  1.488297e+03  3.268000e+00  
-2.651890e+01  1.742957e+03  5.140220e+01  1.738554e+03  3.077100e+00  
-1.974180e+01  1.727234e+03  4.185560e+01  1.718981e+03  3.116700e+00  
-1.637780e+01  1.374675e+03  6.152950e+01  1.360715e+03  3.494800e+00  
-3.076530e+01  1.883687e+03  6.393300e+01  1.880502e+03  2.971500e+00  
-2.459120e+01  1.701075e+03  5.051740e+01  1.693728e+03  3.159300e+00  
-2.080310e+01  1.633421e+03  4.714870e+01  1.626081e+03  3.207600e+00  
-2.733640e+01  1.800764e+03  5.371010e+01  1.796515e+03  3.058800e+00  
-3.069770e+01  1.929085e+03  6.205180e+01  1.925595e+03  2.995200e+00  
-2.045910e+01  1.579494e+03  6.133440e+01  1.570178e+03  3.208900e+00  
-6.600760e+01  1.934706e+03  1.382990e+02  1.933756e+03  2.973800e+00  
-1.259481e+02  2.015335e+03  1.543173e+02  2.015242e+03  2.922300e+00  
-2.974210e+01  1.707196e+03  7.917750e+01  1.702695e+03  3.128900e+00  
-1.437616e+02  1.808495e+03  1.771444e+02  1.808410e+03  3.099300e+00  
-2.194420e+01  1.846245e+03  6.331870e+01  1.838596e+03  2.984900e+00  
-1.531861e+02  1.914170e+03  1.792139e+02  1.913847e+03  2.953700e+00  
