# m_1o t_1o t_3o x_1p chi t_2p m_1p m_2p x_2p y_1p x_sr m_3p x_3p t_3p y_3p t_2o y_sr t_1p m_3o y_2p m_2o
-141.79 0.0 -2319.1 -1.398 4.146 -0.31383 -164.23 104.47 -2.7458 -8.9533 3.0538 3.1335 13.022 -1812.7 4.4807 37.229 -10.364 0.0 2.8477 -9.8177 89.656
-73.783 0.0 -2014.7 -2.0218 88.69 -0.41014 -119.09 54.793 -3.172 -9.4135 3.1666 3.1855 13.301 -1815.3 4.7358 40.384 -10.091 0.0 3.0405 -10.153 417.55
-533.37 0.0 -2048.3 -0.89473 50.16 -0.31477 -178.52 177.22 -2.5201 -8.5943 2.6336 3.0539 13.223 -1890.7 4.8391 30.082 -9.9471 0.0 2.951 -9.6426 86.416
-430.16 0.0 -2041.2 -1.0836 15.57 -0.22645 -302.71 154.32 -2.7193 -8.742 2.7474 3.1626 13.031 -1765.7 4.7723 35.369 -9.9913 0.0 2.9871 -9.7698 118.49
-190.36 0.0 -2089.0 -1.2348 6.005 -0.3759 -168.82 107.48 -2.7301 -8.83 2.7757 3.088 13.226 -1772.5 4.6228 29.415 -10.053 0.0 2.9006 -9.8105 89.829
-897.13 0.0 -2062.9 -0.88838 60.64 -0.19494 -235.49 269.34 -2.4408 -8.5802 2.7816 3.0745 13.095 -1814.0 4.7943 32.344 -10.057 0.0 2.9248 -9.5853 95.882
-288.54 0.0 -2223.7 -1.0349 35.18 -0.32254 -154.27 144.4 -2.5034 -8.6982 2.8731 3.0472 13.065 -1858.3 4.65 34.741 -10.247 0.0 2.85 -9.6389 72.691
-165.79 0.0 -2220.6 -1.2232 7.15 -0.40773 -146.3 99.577 -2.7242 -8.841 3.022 3.0845 13.184 -1851.0 4.5855 39.022 -10.332 0.0 2.8733 -9.7893 81.392
-122.31 0.0 -2319.8 -1.4334 4.581 -0.33597 -151.75 94.112 -2.7767 -8.9908 2.9688 3.1513 12.925 -1821.9 4.5215 41.063 -10.325 0.0 2.8715 -9.8278 86.951
-130.57 0.0 -2193.6 -1.5597 10.12 -0.36658 -179.54 77.63 -2.942 -9.0737 3.1043 3.0464 13.121 -1835.1 4.637 40.009 -10.301 0.0 2.8406 -9.9532 127.14
-178.3 0.0 -1998.5 -1.369 1.901 -0.33637 -198.83 99.895 -2.8246 -8.929 3.2515 3.1529 13.121 -1673.5 4.6762 36.041 -10.306 0.0 2.9608 -9.8763 108.53
-82.353 0.0 -2333.8 -1.6459 18.02 -0.44853 -124.03 65.376 -2.9743 -9.1385 3.4911 3.0825 12.972 -1903.0 4.6084 44.119 -10.431 0.0 2.8529 -9.9834 113.23
-1423.7 0.0 -2090.3 -0.88203 139.6 -0.22693 -135.62 155.96 -2.025 -8.5463 3.2111 3.066 13.203 -1775.4 4.6513 26.795 -10.077 0.0 2.905 -9.3077 47.556
-81.517 0.0 -2161.0 -1.3233 3.981 -0.8642 -84.0 53.138 -2.952 -8.9297 3.1189 2.9479 13.452 -2051.2 4.7626 40.243 -9.9515 0.0 2.8782 -9.9418 75.63
-225.88 0.0 -2294.1 -1.0487 32.34 -0.40178 -126.37 120.01 -2.5195 -8.7052 3.0773 3.1101 13.177 -1879.8 4.534 33.921 -10.174 0.0 2.8695 -9.6535 64.949
